Transaction_ID,Employee_Level,Department,Client,Merchant,Amount,Category,Justification,Date
TXN-1046,Director,HR,Internal / No Client,PayPal Transfer,16.26,Miscellaneous,Parking fee for office day,2026-06-25
TXN-1047,Junior,Operations,Nova Retail GmbH,T-Mobile Hotspot,9.99,Wi-Fi,Conference venue WiFi day pass,2026-06-19
TXN-1048,Director,Engineering,Internal / No Client,Kestrel & Vine,117.94,Entertainment,"Evening dinner, 2 guests",2026-06-26
TXN-1049,Junior,Operations,Nova Retail GmbH,Local SIM Provider,6.50,Wi-Fi,"Hotel WiFi, client project trip",2026-06-19
TXN-1050,Executive,Operations,Internal / No Client,Vapiano,580.52,Entertainment,Team dinner a group of 4 after closing out the sprint,2026-06-08
TXN-1051,Executive,Finance,Internal / No Client,Local Shop,247.09,Miscellaneous,general purchase,2026-06-23
TXN-1052,Junior,Finance,Internal / No Client,Hotel WiFi,11.25,Wi-Fi,Airport WiFi during layover for client visit,2026-06-05
TXN-1053,Director,IT,Internal / No Client,Sixt Rent a Car,541.41,Travel,"3-day travel for internal training in Frankfurt; includes train, 2 nights hotel",2026-06-28
TXN-1054,Manager,Finance,Internal / No Client,Local Bakery,10.99,Meals,Breakfast meeting with manager to review weekly priorities (2 people),2026-06-24
TXN-1055,Manager,IT,Nova Retail GmbH,Hilton Restaurant,179.68,Entertainment,Coffee/meal with client contact team of 4 to walk through Q3 deliverables,2026-06-17
TXN-1056,Senior,Engineering,Internal / No Client,Hilton Event Hall,1737.68,Entertainment,"Organized team party 29 of us, casual Friday team party",2026-06-30
TXN-1057,Senior,Engineering,Kestrel Finance Partners,Marriott,613.97,Travel,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",2026-06-06
TXN-1058,Junior,Operations,Kestrel Finance Partners,Airport WiFi,13.80,Wi-Fi,Hotel WiFi during overnight business trip,2026-06-09
TXN-1059,Manager,HR,Internal / No Client,Cash Withdrawal,264.91,Miscellaneous,general purchase,2026-06-04
TXN-1060,Executive,Finance,Internal / No Client,Büro König,251.60,Office Supplies,Replacement keyboard and mouse for desk setup,2026-06-20
TXN-1061,Senior,HR,Meridian Health Systems,Cafe Einstein,205.23,Entertainment,Coffee/meal with client contact a group of 3 following a successful sprint demo,2026-06-10
TXN-1062,Senior,Sales,Kestrel Finance Partners,Zoom,284.24,Software,Software subscription - annual license renewal for the department,2026-06-28
TXN-1063,Junior,Engineering,Internal / No Client,Amazon,480.00,Office Supplies,Bulk office furniture order for the floor,2026-06-02
TXN-1064,Senior,Operations,Internal / No Client,Vapiano (private room),1403.10,Entertainment,"Organized team party 45 of us, birthday celebration for a teammate",2026-06-10
TXN-1065,Executive,Finance,Meridian Health Systems,Local Pub Berlin,525.96,Entertainment,Dinner with client team team of 4 to finalize Q3 proposal,2026-06-05
TXN-1066,Executive,Finance,Internal / No Client,Ryanair,371.02,Travel,"2-day travel for internal training in Frankfurt; includes train, 1 night hotel",2026-06-18
TXN-1067,Manager,Sales,Internal / No Client,Vapiano,19.63,Meals,Snacks for office during all-hands meeting (approx 12 people),2026-06-28
TXN-1068,Executive,Marketing,Internal / No Client,McFit,48.78,Entertainment,Wellness subscription,2026-06-09
TXN-1069,Executive,Sales,Internal / No Client,Chutnify Neukölln,137.20,Entertainment,Work session,2026-06-20
TXN-1070,Junior,Engineering,Internal / No Client,Cash Withdrawal,248.21,Miscellaneous,general purchase,2026-06-07
TXN-1071,Director,IT,Internal / No Client,FitX Gym,117.20,Entertainment,Personal training session,2026-06-23
TXN-1072,Director,HR,Internal / No Client,Figma,249.12,Software,Software subscription - annual license renewal for the department,2026-06-11
TXN-1073,Director,IT,Meridian Health Systems,Figma,55.56,Software,"Software subscription - design/collaboration tool, monthly seat renewal",2026-06-03
TXN-1074,Manager,Marketing,Internal / No Client,Amazon,200.00,Miscellaneous,Other,2026-06-19
TXN-1075,Senior,Engineering,Internal / No Client,Cash Withdrawal,253.58,Miscellaneous,various,2026-06-07
TXN-1076,Junior,Operations,Internal / No Client,Boingo Wireless,7.40,Wi-Fi,Local data/WiFi hotspot for remote work day,2026-06-20
TXN-1077,Director,Engineering,Internal / No Client,Sixt Rent a Car,591.96,Travel,"4-day travel for internal training in Frankfurt; includes train, 3 nights hotel",2026-06-25
TXN-1078,Senior,IT,Internal / No Client,Sixt Rent a Car,200.00,Travel,expense,2026-06-26
TXN-1079,Manager,Marketing,BlueWave Logistics,Amazon,125.80,Miscellaneous,SIM card / local data plan for business trip,2026-06-21
TXN-1080,Junior,Finance,Meridian Health Systems,DB Bahn,180.44,Travel,Train ticket for 1-day client site visit,2026-06-23
TXN-1081,Executive,Engineering,Internal / No Client,Cafe Einstein,14.48,Meals,Working lunch alone between back-to-back meetings,2026-06-28
TXN-1082,Senior,HR,Meridian Health Systems,Starbucks,319.12,Entertainment,Coffee/meal with client contact (4 people) following a successful sprint demo,2026-06-22
TXN-1083,Senior,Finance,Nova Retail GmbH,Figma,73.11,Software,Software subscription - annual license renewal for the department,2026-06-17
TXN-1084,Junior,Marketing,Internal / No Client,Notion,69.97,Software,Software subscription - annual license renewal for the department,2026-06-04
TXN-1085,Senior,IT,Internal / No Client,Cafe Einstein,37.73,Meals,Working lunch alone between back-to-back meetings,2026-06-15
TXN-1086,Director,Sales,Nova Retail GmbH,Hilton,507.62,Travel,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",2026-06-05
TXN-1087,Manager,Operations,BlueWave Logistics,Trainline,28.50,Travel,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",2026-06-07
TXN-1088,Senior,Sales,Internal / No Client,Five Guys,191.58,Entertainment,Team lunch 3 of us to welcome a new team member,2026-06-20
TXN-1089,Director,Finance,Internal / No Client,Kestrel & Vine,122.31,Entertainment,Dinner,2026-06-20
TXN-1090,Manager,Finance,Nova Retail GmbH,Cash Withdrawal,140.83,Miscellaneous,Small hardware adapter needed for client presentation,2026-06-29
TXN-1091,Junior,Sales,Kestrel Finance Partners,Lufthansa,108.85,Travel,"Cab ride, was running late for the client meeting",2026-06-02
TXN-1092,Senior,Engineering,Internal / No Client,Five Guys,9.34,Meals,Working lunch alone between back-to-back meetings,2026-06-28
TXN-1093,Manager,Marketing,Meridian Health Systems,Sixt Rent a Car,22.75,Travel,Expense - receipt attached,2026-06-28
TXN-1094,Director,Finance,Nova Retail GmbH,Cash Withdrawal,161.37,Miscellaneous,SIM card / local data plan for business trip,2026-06-01
TXN-1095,Executive,Finance,Meridian Health Systems,Ryanair,518.73,Travel,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",2026-06-05
TXN-1096,Executive,Sales,Internal / No Client,Local Shop,250.00,Miscellaneous,expense,2026-06-07
TXN-1097,Executive,Engineering,BlueWave Logistics,Miro,254.64,Software,Software subscription - annual license renewal for the department,2026-06-15
TXN-1098,Manager,Finance,Internal / No Client,Hilton Event Hall,1768.32,Entertainment,"Team party for Finance - a group of 32, end-of-project wrap party",2026-06-20
TXN-1099,Executive,HR,Atlas Capture,Unknown Vendor,86.52,Miscellaneous,Postage for signed contract documents,2026-06-05
TXN-1100,Executive,IT,Internal / No Client,Kestrel & Vine,169.44,Entertainment,Dinner for 2,2026-06-21
TXN-1101,Director,Operations,BlueWave Logistics,DB Bahn,249.21,Travel,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",2026-06-22
TXN-1102,Junior,Engineering,Internal / No Client,Slack,294.71,Software,"Software subscription - design/collaboration tool, monthly seat renewal",2026-06-18
TXN-1103,Senior,Finance,Internal / No Client,Vapiano (private room),480.76,Entertainment,"Organized team party 17 of us, casual Friday team party",2026-06-27
TXN-1104,Executive,Marketing,Nova Retail GmbH,Hilton Restaurant,95.00,Entertainment,"Dinner with client team (1 person, no guests) to finalize Q3 proposal",2026-06-14
TXN-1105,Senior,Marketing,Nova Retail GmbH,Cash Withdrawal,442.28,Miscellaneous,Trip cost,2026-06-05
TXN-1106,Manager,Sales,Internal / No Client,Staples,95.27,Office Supplies,Replacement keyboard and mouse for desk setup,2026-06-05
TXN-1107,Manager,IT,Internal / No Client,Cafe Einstein,33.60,Meals,Solo lunch while working late on month-end close,2026-06-25
TXN-1108,Manager,Sales,Internal / No Client,Local Pub Berlin,1684.31,Entertainment,"Team party for Sales - 43 of us, Q2 close celebration",2026-06-20
TXN-1109,Executive,Operations,Internal / No Client,Five Guys,34.56,Meals,Breakfast meeting with manager to review weekly priorities (2 people),2026-06-12
TXN-1110,Junior,HR,Internal / No Client,Cafe Einstein,97.82,Meals,Project discussion,2026-06-28
TXN-1111,Junior,Finance,BlueWave Logistics,Unknown Vendor,51.56,Miscellaneous,SIM card / local data plan for business trip,2026-06-17
TXN-1112,Junior,Operations,BlueWave Logistics,The Grand Bar,324.12,Entertainment,Dinner with client team 3 of us to finalize Q3 proposal,2026-06-29
TXN-1113,Senior,HR,Meridian Health Systems,Zoom,156.52,Software,Software subscription - used for client project deliverables,2026-06-22
TXN-1114,Executive,Operations,Internal / No Client,McFit,81.84,Miscellaneous,Personal training session,2026-06-27
TXN-1115,Junior,Engineering,Meridian Health Systems,Notion,143.87,Software,Software subscription - annual license renewal for the department,2026-06-22
TXN-1116,Senior,Finance,Meridian Health Systems,Cash Withdrawal,21.80,Miscellaneous,SIM card / local data plan for business trip,2026-06-06
TXN-1117,Executive,Marketing,Internal / No Client,Cafe Einstein,270.80,Entertainment,Team lunch (4 people) to plan next quarter's roadmap,2026-06-09
TXN-1118,Manager,HR,Internal / No Client,Staples,296.16,Office Supplies,Replacement keyboard and mouse for desk setup,2026-06-02
TXN-1119,Junior,Engineering,Internal / No Client,Vapiano,59.16,Entertainment,Team lunch a group of 2 to welcome a new team member,2026-06-08
TXN-1120,Senior,Sales,Internal / No Client,Büro König,97.56,Office Supplies,Monitor for hybrid home/office setup,2026-06-14
TXN-1121,Executive,IT,Internal / No Client,Ryanair,645.14,Travel,"5-day travel for internal training in Frankfurt; includes train, 4 nights hotel",2026-06-06
TXN-1122,Senior,IT,Atlas Capture,Starbucks,82.91,Entertainment,Coffee/meal with client contact just me to walk through Q3 deliverables,2026-06-23
TXN-1123,Director,Operations,Kestrel Finance Partners,Sixt Rent a Car,148.52,Travel,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",2026-06-25
TXN-1124,Director,Engineering,Meridian Health Systems,DB Bahn,508.25,Travel,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",2026-06-08
TXN-1125,Junior,Engineering,Meridian Health Systems,Chutnify Neukölln,345.96,Entertainment,Coffee/meal with client contact a group of 4 to review project milestones,2026-06-13
TXN-1126,Junior,Finance,Internal / No Client,IKEA,125.68,Office Supplies,Printer paper and toner for the office,2026-06-05
TXN-1127,Manager,Operations,Internal / No Client,Zoom,131.64,Software,Software subscription - internal tooling for the team,2026-06-12
TXN-1128,Manager,IT,BlueWave Logistics,Chutnify Neukölln,292.60,Entertainment,Coffee/meal with client contact team of 4 to walk through Q3 deliverables,2026-06-10
TXN-1129,Director,Marketing,Internal / No Client,Chutnify Neukölln,14.12,Meals,Breakfast meeting with manager to review weekly priorities (2 people),2026-06-24
TXN-1130,Executive,Sales,Kestrel Finance Partners,Trainline,412.43,Travel,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",2026-06-19
TXN-1131,Senior,Operations,Internal / No Client,Amazon,204.35,Office Supplies,Printer paper and toner for the office,2026-06-06
TXN-1132,Manager,Operations,Internal / No Client,Vapiano (private room),1303.55,Entertainment,"Team party for Operations - team of 31, new hire welcome party",2026-06-26
TXN-1133,Executive,Marketing,Internal / No Client,Vapiano,31.18,Meals,Working lunch alone between back-to-back meetings,2026-06-21
TXN-1134,Junior,Marketing,Internal / No Client,Cash Withdrawal,211.78,Miscellaneous,Misc,2026-06-21
TXN-1135,Executive,Finance,Internal / No Client,Staples,350.75,Office Supplies,"Office chair + monitor arm bundle, single receipt",2026-06-03
TXN-1136,Executive,Engineering,BlueWave Logistics,DB Bahn,459.19,Travel,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",2026-06-01
TXN-1137,Junior,HR,BlueWave Logistics,Sixt Rent a Car,248.19,Travel,"Cab fare - rainy day, client site",2026-06-12
TXN-1138,Director,Engineering,Internal / No Client,Cafe Einstein,23.40,Meals,Working lunch alone between back-to-back meetings,2026-06-05
TXN-1139,Senior,IT,Meridian Health Systems,Cafe Einstein,208.60,Entertainment,Coffee/meal with client contact (4 people) following a successful sprint demo,2026-06-21
TXN-1140,Manager,Engineering,Kestrel Finance Partners,GitHub,294.17,Software,"Software subscription - design/collaboration tool, monthly seat renewal",2026-06-20
TXN-1141,Executive,Engineering,Meridian Health Systems,Zoom,125.31,Software,Software subscription - annual license renewal for the department,2026-06-07
TXN-1142,Manager,Sales,Internal / No Client,Cafe Einstein,18.76,Meals,Working lunch alone between back-to-back meetings,2026-06-17
TXN-1143,Junior,Finance,Internal / No Client,Local Bakery,79.01,Entertainment,"Team lunch (1 person, no guests) to debrief after sprint retro",2026-06-14
TXN-1144,Executive,Operations,Internal / No Client,Urban Sports Club,96.18,Miscellaneous,Wellness subscription,2026-06-10
TXN-1145,Manager,Engineering,Internal / No Client,MediaMarkt,425.00,Office Supplies,Ergonomic chair and monitor stand,2026-06-08
TXN-1146,Senior,Marketing,Nova Retail GmbH,Cash Withdrawal,442.28,Miscellaneous,Trip cost,2026-06-05
TXN-1147,Director,Operations,Internal / No Client,MediaMarkt,204.88,Office Supplies,Monitor for hybrid home/office setup,2026-06-13
TXN-1148,Junior,Finance,Atlas Capture,GitHub,166.56,Software,Software subscription - annual license renewal for the department,2026-06-21
TXN-1149,Manager,Marketing,BlueWave Logistics,Lufthansa,38.20,Travel,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",2026-06-13
TXN-1150,Senior,Finance,Internal / No Client,Local Bakery,9.92,Meals,Snacks for office during all-hands meeting (approx 12 people),2026-06-30
TXN-1151,Junior,Marketing,Internal / No Client,Hilton Restaurant,190.00,Entertainment,Team dinner (2 people) after closing out the sprint,2026-06-10
TXN-1152,Manager,Marketing,Kestrel Finance Partners,DB Bahn,19.90,Travel,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",2026-06-02
TXN-1153,Junior,HR,Internal / No Client,Starbucks,91.76,Meals,Meeting,2026-06-27
TXN-1154,Manager,Sales,Internal / No Client,Staples,448.95,Office Supplies,Printer paper and toner for the office,2026-06-02
TXN-1155,Director,Operations,Atlas Capture,Starbucks,280.35,Entertainment,Coffee/meal with client contact 5 of us following a successful sprint demo,2026-06-09
TXN-1156,Junior,Marketing,Internal / No Client,Büro König,86.43,Office Supplies,Printer paper and toner for the office,2026-06-28
TXN-1157,Director,IT,Internal / No Client,Vapiano,39.08,Meals,Working lunch alone between back-to-back meetings,2026-06-29
TXN-1158,Senior,Operations,BlueWave Logistics,Local Shop,40.28,Miscellaneous,Parking fee during client site visit,2026-06-29
TXN-1159,Junior,IT,Meridian Health Systems,Uber,291.82,Travel,Train ticket for 1-day client site visit,2026-06-12
TXN-1160,Senior,Sales,BlueWave Logistics,PayPal Transfer,163.21,Miscellaneous,SIM card / local data plan for business trip,2026-06-09
TXN-1161,Manager,Engineering,Internal / No Client,IKEA,299.99,Office Supplies,Bulk office furniture order for the floor,2026-06-13
TXN-1162,Executive,Sales,Internal / No Client,Amazon,266.83,Miscellaneous,Misc,2026-06-22
TXN-1163,Executive,HR,Meridian Health Systems,Slack,67.92,Software,"Software subscription - design/collaboration tool, monthly seat renewal",2026-06-02
TXN-1164,Senior,Finance,Internal / No Client,IKEA,228.65,Office Supplies,"Ergonomic chair, approved by manager for back issues",2026-06-12
TXN-1165,Executive,Sales,Internal / No Client,MediaMarkt,236.80,Office Supplies,Monitor for hybrid home/office setup,2026-06-25
TXN-1166,Junior,HR,Nova Retail GmbH,PayPal Transfer,171.63,Miscellaneous,Small hardware adapter needed for client presentation,2026-06-29
TXN-1167,Director,IT,Internal / No Client,Staples,210.41,Office Supplies,Printer paper and toner for the office,2026-06-01
TXN-1168,Manager,Operations,Internal / No Client,Staples,460.50,Office Supplies,New standing desk for the desk setup,2026-06-24
TXN-1169,Executive,Operations,Internal / No Client,Local Pub Berlin,91.77,Entertainment,Team dinner team of 3 after project close,2026-06-01
TXN-1170,Executive,Finance,Internal / No Client,Chutnify Neukölln,18.86,Meals,Solo lunch while working late on month-end close,2026-06-12
TXN-1171,Manager,Engineering,Nova Retail GmbH,Local Shop,136.51,Miscellaneous,Parking fee during client site visit,2026-06-28
TXN-1172,Manager,Operations,Internal / No Client,Cafe Einstein,39.26,Meals,Breakfast meeting with manager to review weekly priorities (2 people),2026-06-10
TXN-1173,Senior,HR,Internal / No Client,DB Bahn,484.13,Travel,"4-day travel for internal training in Frankfurt; includes train, 3 nights hotel",2026-06-29
TXN-1174,Director,Sales,Internal / No Client,The Grand Bar,154.37,Entertainment,Team dinner team of 4 after project close,2026-06-25
TXN-1175,Executive,Operations,Internal / No Client,Local Pub Berlin,1109.55,Entertainment,"Team party for Operations - (39 people), half-year team celebration",2026-06-18
TXN-1176,Senior,Finance,Internal / No Client,Büro König,337.08,Office Supplies,Replacement keyboard and mouse for desk setup,2026-06-07
TXN-1177,Senior,Marketing,Nova Retail GmbH,Cafe Einstein,427.85,Entertainment,Coffee/meal with client contact (5 people) to walk through Q3 deliverables,2026-06-15
TXN-1178,Junior,Finance,Internal / No Client,The Grand Bar (private room),490.77,Entertainment,"Organized team party team of 19, project wrap-up party",2026-06-12
TXN-1179,Junior,Engineering,Nova Retail GmbH,DB Bahn,126.03,Travel,Cab to client office and back,2026-06-07
TXN-1180,Executive,Engineering,Internal / No Client,Kestrel & Vine,141.22,Entertainment,Dinner,2026-06-26
TXN-1181,Executive,Operations,Internal / No Client,Five Guys,11.21,Meals,Snacks for office during all-hands meeting (approx 12 people),2026-06-15
TXN-1182,Executive,Operations,Internal / No Client,Five Guys,41.87,Meals,Breakfast meeting with manager to review weekly priorities (2 people),2026-06-20
TXN-1183,Senior,Sales,Internal / No Client,Vapiano,30.83,Meals,Breakfast meeting with manager to review weekly priorities (2 people),2026-06-08
TXN-1184,Manager,Engineering,Internal / No Client,Vapiano,14.18,Meals,Solo lunch while working late on month-end close,2026-06-23
TXN-1185,Executive,HR,Internal / No Client,MediaMarkt,410.20,Office Supplies,Ergonomic chair and monitor stand,2026-06-03
TXN-1186,Executive,IT,Internal / No Client,Kestrel & Vine,251.61,Entertainment,Group dinner (3 people),2026-06-20
TXN-1187,Director,Sales,Internal / No Client,Local Pub Berlin,163.46,Entertainment,Team dinner team of 5 after project close,2026-06-05
TXN-1188,Junior,Engineering,Internal / No Client,MediaMarkt,480.00,Office Supplies,Bulk office furniture order for the floor,2026-06-04
TXN-1189,Manager,Sales,Kestrel Finance Partners,Lufthansa,31.40,Travel,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",2026-06-11
TXN-1190,Director,Engineering,Internal / No Client,Cafe Einstein,49.03,Entertainment,"Team lunch solo catch-up, no client involved",2026-06-20
TXN-1191,Director,Engineering,Internal / No Client,Officeworks,425.21,Office Supplies,Printer paper and toner for the office,2026-06-07
TXN-1192,Director,Finance,Internal / No Client,Vapiano (private room),2011.35,Entertainment,"Team party for Finance - (55 people), Q2 close celebration",2026-06-16
TXN-1193,Manager,Operations,Internal / No Client,Amazon,218.05,Office Supplies,Monitor for hybrid home/office setup,2026-06-21
TXN-1194,Junior,Finance,Atlas Capture,Chutnify Neukölln,247.50,Entertainment,Coffee/meal with client contact 3 of us to review project milestones,2026-06-02
TXN-1195,Senior,HR,Internal / No Client,Amazon,400.00,Miscellaneous,general purchase,2026-06-13
TXN-1196,Manager,Marketing,Meridian Health Systems,Sixt Rent a Car,24.60,Travel,Expense - receipt attached,2026-06-28
TXN-1197,Manager,Sales,Atlas Capture,Hilton Restaurant,340.08,Entertainment,Dinner with client team team of 3 to finalize Q3 proposal,2026-06-06
TXN-1198,Manager,Finance,Internal / No Client,IKEA,391.55,Office Supplies,Printer paper and toner for the office,2026-06-17
TXN-1199,Director,IT,Internal / No Client,Villa Kessler,181.06,Meals,Dinner - 2 people,2026-06-12
TXN-1200,Director,Engineering,Internal / No Client,Büro König,350.75,Office Supplies,"Office chair + monitor arm bundle, single receipt",2026-06-21
