Transaction_ID;Date;Amount;ZeroShot_Category;ZeroShot_Violation;ZeroShot_Summary;FewShot_Category;FewShot_Violation;FewShot_Summary
TXN-1123;25.06.26;148,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1124;08.06.26;508,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1125;13.06.26;345,00;Meals;None;Business meeting with client and colleagues;Meals;None;Business meal with client group review
TXN-1126;05.06.26;125,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1127;12.06.26;131,00;Software;None;Internal tool usage expense;Software;None;Internal team software subscription
TXN-1128;10.06.26;292,00;Meals;None;Business meeting with client contact team;Meals;None;Standard client meeting coffee expense
TXN-1129;24.06.26;463,70;Meals;Low;Breakfast meeting with manager for priority review;Meals;None;Business breakfast meeting with manager
TXN-1130;19.06.26;412,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1131;06.06.26;204,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1132;26.06.26;1303,00;Entertainment;Low;Team gathering for operations and new hire welcome;Entertainment;High;Excessive team party cost without clear business justification
TXN-1133;21.06.26;31,00;Meals;None;Unapproved meal during work hours only;Meals;None;Standard corporate working lunch meeting
TXN-1134;21.06.26;211,00;Miscellaneous;None;Unapproved miscellaneous expense reported;Miscellaneous;None;Unclear miscellaneous transaction amount
TXN-1135;03.06.26;350,00;Office Supplies;None;Unusual office equipment purchase amount;Office Supplies;None;Standard office equipment purchase receipt
TXN-1136;01.06.26;459,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1137;12.06.26;248,00;Travel;None;Client visit under normal circumstances;Travel;None;Standard business cab fare during rainy day
TXN-1138;05.06.26;23,00;Meals;None;Unapproved meal during work hours only;Meals;None;Short working lunch between meetings
TXN-1139;21.06.26;208,00;Meals;None;Client meeting with meal and coffee expenses;Meals;None;Business meeting with client contact and meal
TXN-1140;20.06.26;294,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly design collaboration tool subscription
TXN-1141;07.06.26;125,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1142;17.06.26;18,00;Meals;None;Unapproved meal during work hours only;Meals;None;Standard corporate working lunch meeting
TXN-1143;14.06.26;79,00;Meals;None;Debriefing team lunch for one employee only;Meals;None;Standard corporate team lunch meeting
TXN-1144;10.06.26;96,00;Software;None;Unapproved wellness service subscription;Software;None;Standard wellness subscription for employee benefit
TXN-1145;08.06.26;425,00;Office Supplies;None;Ergonomic furniture purchase is reasonable expense;Office Supplies;None;Standard office equipment purchase
TXN-1146;05.06.26;442,00;Travel;Low;Trip cost exceeds reasonable expense threshold.;Travel;None;Business trip cost within reasonable limits
TXN-1147;13.06.26;204,00;Office Supplies;None;Home office equipment purchase justification appears reasonable.;Office Supplies;None;Hybrid home office equipment setup costs
TXN-1148;21.06.26;166,00;Software;None;Annual software license renewal for department;Software;None;Annual software license renewal for department
TXN-1149;13.06.26;38,00;Travel;None;Client Engagement Expenses Covered by Separate Invoices;Travel;Low;Client engagement travel costs partially covered
TXN-1150;30.06.26;338,48;Entertainment;Low;Unapproved snacks for employee gathering;Office Supplies;None;Reasonable office supplies for all-hands meeting
TXN-1151;10.06.26;190,00;Meals;None;Team dinner after project completion;Meals;None;Team dinner after sprint closure meeting
TXN-1152;02.06.26;19,00;Travel;None;Onsite client engagement expenses covered by separate billing;Travel;None;Standard business client engagement travel costs
TXN-1153;27.06.26;91,00;Meals;Low;Unapproved meal expense during meeting;Miscellaneous;None;Standard corporate meeting expenses incurred
TXN-1154;02.06.26;448,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1155;09.06.26;280,00;Meals;None;Business meeting with client and team members;Meals;None;Standard business meal with clients
TXN-1156;28.06.26;86,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1157;29.06.26;39,00;Meals;None;Unapproved meal during work hours only;Meals;None;Standard corporate working lunch meeting
TXN-1158;29.06.26;40,00;Travel;None;Unnecessary parking fee for client site visit;Travel;None;Client site visit parking fee payment
TXN-1159;12.06.26;291,00;Travel;None;Client site visit train ticket expense;Travel;None;Standard client site visit transportation
TXN-1160;09.06.26;163,00;Travel;None;Local data plan for business purposes;Travel;None;Business trip SIM card and data plan
TXN-1161;13.06.26;299,00;Office Supplies;None;Bulk office furniture purchase is reasonable expense;Office Supplies;None;Bulk office furniture purchase for the floor
TXN-1162;22.06.26;266,00;Miscellaneous;None;Unapproved miscellaneous expense reported;Miscellaneous;None;Unclear miscellaneous transaction amount
TXN-1163;02.06.26;67,00;Software;None;Monthly software subscription for collaboration purposes;Software;None;Monthly software subscription renewal process
TXN-1164;12.06.26;228,00;Office Supplies;None;Ergonomic chair justified for health reasons;Office Supplies;None;Ergonomic chair purchase for employee health
TXN-1165;25.06.26;236,00;Office Supplies;None;Home office equipment purchase justification appears reasonable.;Office Supplies;None;Hybrid home office equipment setup costs
TXN-1166;29.06.26;171,00;Software;None;Hardware adapter purchase for client presentation;Office Supplies;None;Reasonable office supply expense
TXN-1167;01.06.26;210,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1168;24.06.26;460,00;Office Supplies;None;Desk setup expense within budget range;Office Supplies;None;Standard office desk equipment purchase
TXN-1169;01.06.26;91,00;Meals;None;Team dinner after project completion;Meals;None;Reasonable team dinner after project completion
TXN-1170;12.06.26;18,00;Meals;None;Late work hours warrant a solo meal expense;Meals;None;Personal lunch during late work hours
TXN-1171;28.06.26;136,00;Travel;None;Reasonable parking fee for client site visit;Travel;None;Standard client site visit parking fee
TXN-1172;10.06.26;39,00;Meals;Low;Breakfast meeting with manager for priority review;Meals;None;Business breakfast meeting with manager
TXN-1173;29.06.26;484,00;Travel;None;Internal training expenses within budget range.;Travel;Low;Standard business travel with train and hotel
TXN-1174;25.06.26;154,00;Meals;None;Team dinner after project completion;Meals;None;Standard corporate team dinner meeting
TXN-1175;18.06.26;1109,00;Entertainment;Low;Team celebration exceeds reasonable expense limits slightly;Entertainment;High;Excessive team party cost without business justification
TXN-1176;07.06.26;337,00;Office Supplies;None;Desk equipment replacement costs within budget;Office Supplies;None;Standard office desk equipment replacement
TXN-1177;15.06.26;427,00;Meals;Low;Informal meeting with clients exceeds company policy;Meals;Low;Business meal with client contact meeting
TXN-1178;12.06.26;490,00;Entertainment;Low;Company-sponsored team gathering exceeds reasonable expense limit;Entertainment;Low;Company-sponsored team party event
TXN-1179;07.06.26;126,00;Travel;None;Reasonable cab fare for business trip;Travel;None;Standard client office transportation cost
TXN-1180;26.06.26;141,00;Meals;None;Dinner expense within reasonable company limits.;Meals;High;Dinner expense lacks business justification details
TXN-1181;15.06.26;445,01;Entertainment;Low;Unapproved snacks for employee gathering;Office Supplies;None;Standard office snacks for all-hands meeting
TXN-1182;20.06.26;41,00;Meals;Low;Breakfast meeting with manager for priority review;Meals;None;Business breakfast meeting with manager
TXN-1183;08.06.26;30,00;Meals;Low;Breakfast meeting with manager for priority review;Meals;None;Business breakfast meeting with manager
TXN-1184;23.06.26;14,00;Meals;None;Late work hours warrant a solo meal expense;Meals;None;Personal lunch during late work hours
TXN-1185;03.06.26;410,00;Office Supplies;None;Ergonomic furniture purchase is reasonable expense;Office Supplies;None;Standard office equipment purchase
TXN-1186;20.06.26;251,00;Meals;Low;Group dinner expense exceeds reasonable limit slightly;Meals;None;Standard corporate group dinner meeting
TXN-1187;05.06.26;163,00;Meals;None;Team dinner after project completion;Meals;None;Reasonable team dinner after project completion
TXN-1188;04.06.26;480,00;Office Supplies;None;Bulk office furniture purchase is reasonable expense;Office Supplies;None;Bulk office furniture purchase for the floor
TXN-1189;11.06.26;31,00;Travel;None;Onsite client engagement expenses are reasonable.;Travel;None;Standard client engagement travel costs
TXN-1190;20.06.26;49,00;Meals;Low;Unapproved personal meal expense;Meals;None;Standard corporate solo team lunch meeting
TXN-1191;07.06.26;425,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1192;16.06.26;2011,00;Entertainment;Low;Team gathering for Q2 close celebration;Entertainment;High;Excessive team party cost without clear justification
TXN-1193;21.06.26;218,00;Office Supplies;None;Home office equipment purchase justification appears reasonable.;Office Supplies;None;Hybrid home office equipment setup costs
TXN-1194;02.06.26;247,00;Meals;None;Business meeting with client over coffee;Meals;None;Client meeting coffee expense within budget
TXN-1195;13.06.26;400,00;Miscellaneous;Low;Unspecified general purchase amount exceeds reasonable threshold.;None;High;Lack of clarity in general purchase justification
TXN-1196;28.06.26;24,00;Meals;None;Reasonable meal expense within company policy;Miscellaneous;Unknown;Insufficient information provided
TXN-1197;06.06.26;340,00;Meals;Low;Unusual expense for dinner with client team;Meals;None;Business dinner with client team members
TXN-1198;17.06.26;391,00;Office Supplies;None;Office supplies within budget range.;Office Supplies;None;Standard office supply purchase
TXN-1199;12.06.26;181,00;Meals;None;Dinner for two employees is reasonable expense;Meals;Low;Dinner for two without business context
TXN-1200;21.06.26;350,00;Office Supplies;None;Unusual office equipment purchase amount;Office Supplies;None;Standard office equipment purchase receipt
