id,employee_category,corrected_category,amount,description,violation,reasoning,execution_time_sec
TXN-1034,Entertainment,Meals & Client Entertainment,142.77,Meeting,None,"The transaction description 'Meeting' suggests a business-related activity, but it does not specify whether the meeting was client-facing or internal. However, since the employee is at Manager level and above (as implied by the policy), they are eligible to submit meal claims. Therefore, this expense should be categorized as Meals & Client Entertainment.",22.57
TXN-1035,Entertainment,Entertainment,95.95,Team dinner 3 of us after project close,None,"The transaction description 'Team dinner 3 of us after project close' indicates a client-facing event, which falls under the Entertainment category. The policy allows for reimbursement of client entertainment expenses up to $100 per person.",17.61
TXN-1036,Entertainment,Meals,129.10,Coffee/meal with client contact (5 people) following a successful sprint demo,None,"The transaction description 'Coffee/meal with client contact (5 people) following a successful sprint demo' indicates a group meal, which is reimbursable under the Meals category. The policy defines 'per-person cost' as the total amount of a group meal divided by the number of attendees, including the employee. In this case, the per-person cost would be 129.10 / 5 = 25.82, which is within the approved limit for meals.",21.95
TXN-1037,Office Supplies,Office Supplies,222.80,Monitor for hybrid home/office setup,None,"The transaction description 'Monitor for hybrid home/office setup' matches the policy definition of Office Supplies, which includes home-office equipment. The amount $222.80 is below the single-transaction limit of $500.",12.56
TXN-1038,Meals,Meals,33.02,Solo lunch while working late on month-end close,Low,"The employee claimed a solo lunch while working late on month-end close, which is reimbursable up to $40 for Manager-level employees and above. However, the employee's level is not specified in this transaction, but based on the policy, it seems that Senior employees are not eligible for Meals claims. Therefore, this is considered a Low violation.",19.95
TXN-1039,Wi-Fi,Wi-Fi/Connectivity,14.99,Hotel WiFi during business travel,None,"The transaction description 'Hotel WiFi during business travel' matches the policy definition for Wi-Fi/Connectivity, which is the only expense category available to Junior-level employees. This category has no spending caps or limits mentioned in the policy text.",18.04
TXN-1040,Entertainment,Meals & Entertainment,213.04,Team dinner 2 of us after closing out the sprint,None,"The transaction description 'Team dinner 2 of us after closing out the sprint' indicates a meal for two people, which is eligible under the Meals category. The employee's claimed category was incorrect, but based on the policy text, this expense should be categorized as Meals & Entertainment.",16.24
TXN-1041,Miscellaneous,Software & Subscriptions,27.18,Small hardware adapter needed for client presentation,None,"The transaction description mentions a 'small hardware adapter needed for client presentation', which falls under the category of Software & Subscriptions. This category is eligible for reimbursement up to $500 per single transaction without prior approval, and since the amount is within this limit, there is no violation.",19.12
TXN-1042,Entertainment,Team Parties / Company Events,1449.30,"Organized team party (30 people), project wrap-up party",High,"The transaction description mentions a 'project wrap-up party' for 30 people, which is restricted to Manager level and above. The employee submitted as Senior, so this is a violation of the hosting rights rule.",31.32
TXN-1043,Travel,Ground Transport,199.99,"Cab ride, was running late for the client meeting",None,"The transaction description 'Cab ride, was running late for the client meeting' indicates a transportation expense related to business travel. According to policy (Section 3.3), such expenses are categorized as Ground Transport. The amount of $199.99 is within the allowed cap of $40/instance for Manager-level employees.",22.12
TXN-1044,Entertainment,Meals & Client Entertainment,210.28,Dinner with client team a group of 2 to finalize Q3 proposal,None,"The transaction description 'Dinner with client team a group of 2 to finalize Q3 proposal' indicates a business purpose related to a client, which aligns with the policy definition for Meals & Client Entertainment. The employee's claimed category was incorrect, but based on the description, this expense should be categorized as Meals & Client Entertainment.",18.35
TXN-1045,Entertainment,Team Events / Company Parties,1743.44,"Organized team party (37 people), birthday celebration for a teammate",High,"The employee claimed category is 'Entertainment', but the description mentions a team party for 37 people, which is not eligible for Manager level and above employees. The policy restricts team parties to Manager level and above, and this transaction exceeds the per-person cost limit of $100.",22.03
TXN-1046,Miscellaneous,Travel,16.26,Parking fee for office day,None,"The transaction description 'Parking fee for office day' indicates a legitimate business cost related to travel, which is allowed in the Travel category. The policy defines this category as including costs such as parking during a client visit.",20.36
TXN-1047,Wi-Fi,Wi-Fi / Connectivity,9.99,Conference venue WiFi day pass,None,"The transaction description 'Conference venue WiFi day pass' matches the policy category for Wi-Fi/Connectivity, which is the only eligible expense category for Junior-level employees. The amount of $9.99 does not exceed the spending cap for this category.",20.87
TXN-1048,Entertainment,Entertainment,117.94,"Evening dinner, 2 guests",None,"The transaction description 'Evening dinner, 2 guests' indicates a client-facing event, which falls under the Entertainment category. The policy allows for alcohol to be logged as part of an Entertainment claim, and there is no indication that this was a personal expense.",18.37
TXN-1049,Wi-Fi,Wi-Fi/Connectivity,6.50,"Hotel WiFi, client project trip",None,"The transaction description 'Hotel WiFi, client project trip' matches the policy definition for Wi-Fi/Connectivity (7.7), which is the only reimbursable category for Junior employees.",13.97
TXN-1050,Entertainment,Entertainment,580.52,Team dinner a group of 4 after closing out the sprint,None,"The transaction description 'Team dinner a group of 4 after closing out the sprint' indicates a client-facing event, which falls under the Entertainment category. The policy allows for reimbursement up to $100 per person, and since there are 4 attendees, the total amount of $580.52 exceeds this limit. However, the excess above $100 per person is the employee's responsibility.",21.46
TXN-1051,Miscellaneous,Miscellaneous,247.09,general purchase,Low,"The transaction description 'general purchase' does not meet the policy's documentation requirements for the Miscellaneous category. According to Section 7.6, generic labels such as 'Misc', 'Other', or 'expense' are not acceptable. However, since this is a legitimate one-off business cost and the employee is senior level (above), it falls under the Miscellaneous category. The amount of $247.09 does not exceed any specific spending cap for this category.",21.65
TXN-1052,Wi-Fi,Wi-Fi / Connectivity,11.25,Airport WiFi during layover for client visit,None,"The transaction description 'Airport WiFi during layover for client visit' matches the policy definition of Wi-Fi/Connectivity, which is the only reimbursable category for Junior employees. The amount $11.25 is within the cap of $15 per instance.",19.98
TXN-1053,Travel,Travel,541.41,"3-day travel for internal training in Frankfurt; includes train, 2 nights hotel",None,"The transaction description mentions '3-day travel for internal training in Frankfurt; includes train, 2 nights hotel', which aligns with the policy's definition of Travel. The employee claimed category was incorrect, but the actual category is clearly defined by the description.",19.2
TXN-1054,Meals,Meals & Client Entertainment,10.99,Breakfast meeting with manager to review weekly priorities (2 people),None,"The transaction description mentions a 'breakfast meeting with manager to review weekly priorities', which implies a business purpose. The policy allows meal claims for employees at Manager level and above, and this employee is likely at that level or higher. Therefore, the corrected category is Meals & Client Entertainment.",19.69
TXN-1055,Entertainment,Client Entertainment,179.68,Coffee/meal with client contact team of 4 to walk through Q3 deliverables,None,"The transaction description 'Coffee/meal with client contact team of 4 to walk through Q3 deliverables' indicates a business purpose related to a client, which aligns with the policy definition for Client Entertainment. The employee's claim was initially categorized as 'Entertainment', but based on the policy text and transaction details, it is clear that this expense should be classified under Client Entertainment.",21.09
TXN-1056,Entertainment,Team Events / Company Parties,1737.68,"Organized team party 29 of us, casual Friday team party",High,"The employee claimed the category as 'Entertainment', but the description mentions a team party for 29 people, which is not eligible for Senior employees. According to policy, team events/parties are restricted to Manager level and above.",18.14
TXN-1057,Travel,Travel,613.97,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",None,"The transaction description '3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately' indicates a business trip with multiple components (flights, hotel, meals). According to the policy, this falls under the Travel category. The employee has correctly separated meal expenses into a separate claim.",19.06
TXN-1058,Wi-Fi,Wi-Fi/Connectivity,13.80,Hotel WiFi during overnight business trip,None,"The transaction description 'Hotel WiFi during overnight business trip' matches the policy definition for Wi-Fi/Connectivity, which is the only expense category available to Junior-level employees. This category has no spending caps or limits mentioned in the policy text.",12.72
TXN-1059,Miscellaneous,Meals & Entertainment,264.91,general purchase,Low,"The transaction description 'general purchase' is too vague and does not meet the documentation requirements for the Miscellaneous category. However, based on the policy text, a general purchase can be considered as a meal or entertainment expense if it has a business purpose. Since no client name is mentioned, this is marked as an internal expense. The amount of $264.91 exceeds the typical meal cost, so further investigation is required to determine its legitimacy.",16.13
TXN-1060,Office Supplies,Office Supplies,251.60,Replacement keyboard and mouse for desk setup,None,"The transaction description 'Replacement keyboard and mouse for desk setup' matches the policy definition of Office Supplies, which includes home-office equipment. The employee is senior level, so they are eligible for this category. The amount of $251.60 is below the single-transaction limit of $500.",20.06
TXN-1061,Entertainment,Client Entertainment,205.23,Coffee/meal with client contact a group of 3 following a successful sprint demo,None,"The transaction description 'Coffee/meal with client contact a group of 3 following a successful sprint demo' indicates that the expense is related to a client, which aligns with the policy definition for Client Entertainment. The employee claimed it as 'Entertainment', but based on the description, it should be categorized under Client Entertainment.",18.5
TXN-1062,Software,Software & Subscriptions,284.24,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee claimed category was inaccurate and has been corrected.",12.15
TXN-1063,Office Supplies,Office Furniture,480.00,Bulk office furniture order for the floor,None,"The transaction description 'Bulk office furniture order for the floor' matches the policy definition of Office Supplies, but since it exceeds the $500 limit without prior approval, it requires written pre-approval from a Manager or above. However, given that the employee claimed category was already Office Supplies and the amount is below the threshold for requiring prior approval, we consider this transaction to be within policy limits.",20.54
TXN-1064,Entertainment,Team Events / Company Parties,1403.10,"Organized team party 45 of us, birthday celebration for a teammate",High,"The employee claimed category is 'Entertainment', but the item description/justification mentions a team party for 45 people, which is not eligible for Senior employees. According to policy, team parties are restricted to Manager level and above.",16.3
TXN-1065,Entertainment,Client Entertainment,525.96,Dinner with client team team of 4 to finalize Q3 proposal,None,"The transaction description 'Dinner with client team of 4 to finalize Q3 proposal' indicates a business purpose tied to a specific client, which aligns with the policy definition for Client Entertainment. The employee's claim was initially categorized as 'Entertainment', but based on the policy text and transaction details, it is clear that this expense should be marked as Client Entertainment.",16.13
TXN-1066,Travel,Travel,371.02,"2-day travel for internal training in Frankfurt; includes train, 1 night hotel",None,"The transaction description '2-day travel for internal training in Frankfurt; includes train, 1 night hotel' matches the policy definition for Travel (per trip) category. The amount of $371.02 is below the spending cap of $4,000 for Director-level employees.",19.37
TXN-1067,Meals,Meals,19.63,Snacks for office during all-hands meeting (approx 12 people),Low,"The transaction description 'Snacks for office during all-hands meeting (approx 12 people)' indicates a group meal, which is reimbursable. However, the amount of $19.63 is below the per-person limit of $100, but above the solo meal limit of $40. Since there's no indication that this was a solo meal, it falls under the team meals category.",22.1
TXN-1068,Entertainment,Wellness,48.78,Wellness subscription,High,"The transaction description 'Wellness subscription' matches the policy definition of a non-reimbursable expense under section 8. Personal & Non-Reimbursable Expenses, which explicitly excludes gym memberships, personal training, fitness apps, or wellness subscriptions of any kind.",14.01
TXN-1069,Entertainment,Meals,137.20,Work session,None,"The transaction description 'Work session' implies a meal or food-related expense, which falls under the Meals category. The policy requires client-billable expenses to include a specific client name, but this is not applicable in this case. Therefore, no violation is assigned.",15.99
TXN-1070,Miscellaneous,Miscellaneous,248.21,general purchase,Low,"The transaction description 'general purchase' does not meet the policy's documentation requirements for the Miscellaneous category. According to Section 7.6, generic labels such as 'Misc', 'Other', or 'expense' are not acceptable. However, since this is a legitimate one-off business cost and the employee is senior level (above), it falls under the Miscellaneous category. The amount of $248.21 does not exceed any specific spending cap for this category.",16.67
TXN-1071,Entertainment,Personal & Non-Reimbursable Expenses,117.20,Personal training session,High,"The transaction description 'Personal training session' indicates a cost primarily benefiting the employee or their family/friends outside of a genuine, describable business purpose. According to policy section 4, General Principles, and section 8, Personal & Non-Reimbursable Expenses, this type of expense is not reimbursable.",17.26
TXN-1072,Software,Software & Subscriptions,249.12,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee provided a justification for the tool's purpose in their initial claim and noted that it supports general internal work.",13.34
TXN-1073,Software,Software & Subscriptions,55.56,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction description mentions a 'software subscription - design/collaboration tool, monthly seat renewal', which aligns with the policy definition for Software & Subscriptions (Section 7.7). The employee's claimed category was inaccurate, but the correct category is clearly defined by the item description.",14.14
TXN-1074,Miscellaneous,Personal expense,200.00,Other,High,"The transaction description 'Other' is vague and does not provide a clear business purpose. According to the policy, generic labels such as 'Misc', 'Other', or 'expense' are not acceptable in the Miscellaneous category. Furthermore, the employee claimed this expense under the Miscellaneous category, which is only eligible for senior-level employees and requires tight documentation. The description does not specify what was purchased or why, indicating a personal expense rather than a legitimate business cost.",22.51
TXN-1075,Miscellaneous,Miscellaneous,253.58,various,Low,"The transaction description 'various' is vague and does not meet the policy's documentation requirement for the Miscellaneous category. However, it does not explicitly indicate a personal expense or violate any other policy restrictions.",12.73
TXN-1076,Wi-Fi,Wi-Fi/Connectivity,7.40,Local data/WiFi hotspot for remote work day,None,"The transaction description 'Local data/WiFi hotspot for remote work day' matches the policy definition of Wi-Fi/Connectivity, which is the only eligible category for Junior-level employees. The amount of $7.40 does not exceed the cap of $15.",19.53
TXN-1077,Travel,Travel,591.96,"4-day travel for internal training in Frankfurt; includes train, 3 nights hotel",None,"The transaction description mentions '4-day travel for internal training in Frankfurt; includes train, 3 nights hotel', which aligns with the policy's definition of Travel. The employee claimed category was incorrect, but the actual category is Travel.",16.36
TXN-1078,Travel,Miscellaneous,200.00,expense,Low,"The transaction description 'expense' is vague and does not provide a clear business purpose. According to the policy, Miscellaneous expenses are allowed without limitation, but they must still have a describable business purpose. Since this expense lacks any details about its business purpose or client/project tie-in, it is categorized as Miscellaneous with a Low violation level.",16.95
TXN-1079,Miscellaneous,Wi-Fi / Connectivity,125.80,SIM card / local data plan for business trip,None,The transaction description 'SIM card / local data plan for business trip' matches the policy definition of a Junior-Eligible Expense under Wi-Fi/Connectivity category. This expense is permitted for junior employees and does not exceed any spending caps or limits.,18.08
TXN-1080,Travel,Travel,180.44,Train ticket for 1-day client site visit,None,"The transaction description 'Train ticket for 1-day client site visit' indicates a business-related expense, specifically travel to a client site. This matches the policy definition of Travel expenses, which are eligible for reimbursement.",20.17
TXN-1081,Meals,Meals,14.48,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",53.11
TXN-1082,Entertainment,Client Entertainment,319.12,Coffee/meal with client contact (4 people) following a successful sprint demo,None,"The transaction description mentions a 'client contact' and a 'sprint demo', indicating that the expense is related to client entertainment. The policy allows for Client Entertainment expenses, which can be submitted by employees at any level.",14.05
TXN-1083,Software,Software & Subscriptions,73.11,Software subscription - annual license renewal for the department,None,"The transaction description 'annual license renewal for the department' indicates a business justification is required, which aligns with the Software & Subscriptions category. The employee claimed category was 'Software', but this is not accurate according to the policy text.",10.69
TXN-1084,Software,Software & Subscriptions,69.97,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee claimed category was inaccurate and has been corrected.",8.77
TXN-1085,Meals,Meals,37.73,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",10.25
TXN-1086,Travel,Travel,507.62,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",None,"The transaction description mentions a '4-day onsite client engagement' which indicates that the travel is for business purposes. The policy allows for reasonable and documented transport costs, including flights and hotel stays. Therefore, the corrected category is Travel.",11.94
TXN-1087,Travel,Travel,28.50,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction description mentions a '2-day onsite client engagement' which indicates that the travel is for business purposes and related to a specific client. This matches the policy definition of Client-billable expenses under the Travel category.,11.91
TXN-1088,Entertainment,Meals,191.58,Team lunch 3 of us to welcome a new team member,None,"The transaction description 'Team lunch 3 of us to welcome a new team member' indicates a meal for employees, which falls under the Meals category. The policy allows meals up to $100 per person, and this amount ($191.58) exceeds the cap by $91.58. However, since there is no indication that alcohol was served or that it's a client dinner/team event, it does not fall under Entertainment.",17.83
TXN-1089,Entertainment,Entertainment,122.31,Dinner,None,"The transaction description 'Dinner' matches the policy definition for Entertainment, which includes client dinners. The employee's claimed category was incorrect, but the true category is clearly defined by the policy.",17.3
TXN-1090,Miscellaneous,Software & Subscriptions,140.83,Small hardware adapter needed for client presentation,None,"The transaction description mentions a 'small hardware adapter needed for client presentation', which falls under the category of Software & Subscriptions. This category is eligible for reimbursement up to $500 per single transaction without prior approval, and since the amount ($140.83) is below this threshold, there are no policy restrictions or allowances that apply.",15.58
TXN-1091,Travel,Ground Transport,108.85,"Cab ride, was running late for the client meeting",None,"The transaction description 'Cab ride, was running late for the client meeting' indicates a transportation expense related to business travel. According to policy (Section 3.3), such expenses are categorized as Ground Transport. The amount of $108.85 is within the allowed cap of $40/instance for Manager-level employees.",15.5
TXN-1092,Meals,Meals,9.34,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",13.24
TXN-1093,Travel,Meals & Entertainment,22.75,Expense - receipt attached,None,"The transaction description 'Expense - receipt attached' indicates a meal-related expense, which falls under the Meals & Entertainment category. The policy requires receipts for expenses over $25, and this transaction meets that requirement.",17.31
TXN-1094,Miscellaneous,Wi-Fi / Connectivity,161.37,SIM card / local data plan for business trip,None,The transaction description 'SIM card / local data plan for business trip' matches the policy definition of a Junior-Eligible Expense under Wi-Fi/Connectivity category. This expense is permitted for junior employees and does not exceed any spending caps or limits.,13.08
TXN-1095,Travel,Travel,518.73,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",None,"The transaction description '5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately' indicates a business trip with multiple components (flights, hotel, meals). According to policy, this is a valid expense under the Travel category. The fact that meals are billed separately does not change the primary categorization of this transaction.",14.57
TXN-1096,Miscellaneous,Miscellaneous,250.00,expense,None,"The transaction description 'expense' matches the Miscellaneous category definition in Section 7.6, which allows for legitimate one-off business costs that do not fit any other category.",13.07
TXN-1097,Software,Software & Subscriptions,254.64,Software subscription - annual license renewal for the department,None,"The transaction description 'annual license renewal for the department' indicates a business justification is required, which aligns with the Software & Subscriptions category. The employee claimed category was 'Software', but this is not accurate according to the policy text.",12.13
